"placename","camera_name","start_date","end_date","deployment_duration","feature_type_methodology","habitat_type","notable_entrances","trail","study_part","latitude","longitude","deployment_id","camera_id","camera_functioning","sensor_height","sensor_orientation","remarks","feature_type_methodology_recoded"
"H11","C11",2021-02-04,2021-02-09,5,"Constructed Hibernacula","Marsh",5,"no",1,34.42074069,-119.8832652,NA,NA,NA,NA,NA,NA,NA
"H11","C12",2021-02-04,2021-02-09,5,"Constructed Hibernacula","Marsh",5,"no",1,34.42074069,-119.8832652,NA,NA,NA,NA,NA,NA,NA
"H12","C11",2021-03-04,2021-03-09,5,"Constructed Hibernacula","Scrub",5,"no",1,34.42041179,-119.8822803,NA,NA,NA,NA,NA,NA,NA
"H12","C12",2021-03-04,2021-03-09,5,"Constructed Hibernacula","Scrub",5,"no",1,34.42041179,-119.8822803,NA,NA,NA,NA,NA,NA,NA
"H13","C2",2021-02-11,2021-02-16,5,"Constructed Hibernacula","Marsh",6,"no",1,34.42057299,-119.882581,NA,NA,NA,NA,NA,NA,NA
"H15","C11",2021-02-11,2021-02-16,5,"Constructed Hibernacula","Marsh",6,"no",1,34.42084744,-119.8813838,NA,NA,NA,NA,NA,NA,NA
"H15","C12",2021-02-11,2021-02-16,5,"Constructed Hibernacula","Marsh",6,"no",1,34.42084744,-119.8813838,NA,NA,NA,NA,NA,NA,NA
"H16","C10",2021-03-04,2021-03-09,5,"Constructed Hibernacula","Marsh",10,"no",1,34.420817,-119.8807587,NA,NA,NA,NA,NA,NA,NA
"H16","C9",2021-03-04,2021-03-09,5,"Constructed Hibernacula","Marsh",10,"no",1,34.420817,-119.8807587,NA,NA,NA,NA,NA,NA,NA
"H19","C5",2021-02-19,2021-02-23,4,"Constructed Hibernacula","Marsh",2,"no",1,34.42061659,-119.8792463,NA,NA,NA,NA,NA,NA,NA
"H19","C6",2021-02-18,2021-02-23,5,"Constructed Hibernacula","Marsh",2,"no",1,34.42061659,-119.8792463,NA,NA,NA,NA,NA,NA,NA
"H20","C5",2021-02-25,2021-03-02,5,"Constructed Hibernacula","Marsh",6,"no",1,34.42036145,-119.8788007,NA,NA,NA,NA,NA,NA,NA
