"placename","camera_name","identified_by","obs_start_date","obs_start_time","common_name"
"B2","C9","Alistair Dobson",2021-04-24,03:18:03,"Cricetidae Family"
"B2","C9","Alistair Dobson",2021-04-23,22:15:49,"Cricetidae Family"
"B2","C9","Alistair Dobson",2021-04-24,03:20:32,"Cricetidae Family"
"B2","C9","Alistair Dobson",2021-04-24,03:13:36,"Cricetidae Family"
"B2","C9","Alistair Dobson",2021-04-25,23:11:59,"Killdeer"
"B2","C9","Alistair Dobson",2021-04-22,11:04:11,"Western fence lizard"
"B2","C9","Alistair Dobson",2021-04-22,11:09:11,"Western fence lizard"
"B2","C9","Alistair Dobson",2021-04-22,11:06:46,"Western fence lizard"
"B2","C9","Alistair Dobson",2021-04-22,11:36:28,"Western fence lizard"
"B2","C9","Alistair Dobson",2021-04-22,11:38:53,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-24,03:32:25,"North American Deermouse"
"B2","C9","Calen Campos",2021-04-24,03:21:55,"North American Deermouse"
"B2","C9","Calen Campos",2021-04-24,03:30:31,"North American Deermouse"
"B2","C9","Calen Campos",2021-04-24,03:19:23,"North American Deermouse"
"B2","C9","Calen Campos",2021-04-23,11:26:22,"American Crow"
"B2","C9","Calen Campos",2021-04-26,05:22:56,"Striped Skunk"
"B2","C9","Calen Campos",2021-04-25,12:30:47,"California Ground Squirrel"
"B2","C9","Calen Campos",2021-04-25,12:58:45,"California Ground Squirrel"
"B2","C9","Calen Campos",2021-04-22,15:21:46,"California Ground Squirrel"
"B2","C9","Calen Campos",2021-04-22,15:27:35,"California Ground Squirrel"
"B2","C9","Calen Campos",2021-04-23,10:41:29,"California Ground Squirrel"
"B2","C9","Calen Campos",2021-04-23,16:38:17,"California Ground Squirrel"
"B2","C9","Calen Campos",2021-04-24,14:54:44,"California Ground Squirrel"
"B2","C9","Calen Campos",2021-04-24,15:02:13,"California Ground Squirrel"
"B2","C9","Calen Campos",2021-04-24,15:18:14,"California Ground Squirrel"
"B2","C9","Calen Campos",2021-04-24,15:46:13,"California Ground Squirrel"
"B2","C9","Calen Campos",2021-04-24,16:52:00,"California Ground Squirrel"
"B2","C9","Calen Campos",2021-04-22,15:14:19,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-22,15:16:27,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-23,13:09:01,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-23,13:32:22,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-23,13:48:29,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-23,14:13:45,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-23,13:55:31,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-24,10:13:10,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-24,10:11:42,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-24,10:51:26,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-24,10:54:09,"Western fence lizard"
"B2","C9","Calen Campos",2021-04-24,10:58:49,"Western fence lizard"
