"placename","latitude","longitude","feature_type_methodology","total_observations","total_deployment_duration","avg_daily_observations"
"B11",34.421292,-119.881008,"Boulder",48,12,4
"B12",34.421174,-119.879871,"Boulder",27,12,2.25
"B2",34.418968,-119.878594,"Boulder",45,11,4.09090909090909
"B23",34.419932,-119.878084,"Boulder",84,12,7
"B29",34.419928,-119.8782324,"Boulder",8,12,0.666666666666667
"H13",34.420573,-119.882581,"Constructed Hibernacula",24,6,4
"H17",34.42077,-119.880326,"Constructed Hibernacula",108,12,9
"H2",34.419386,-119.874441,"Constructed Hibernacula",6,12,0.5
"H21",34.419903,-119.877406,"Constructed Hibernacula",17,12,1.41666666666667
"H35",34.419231,-119.878348,"Constructed Hibernacula",139,9,15.4444444444444
"H36",34.419551,-119.878198,"Constructed Hibernacula",53,6,8.83333333333333
"H39",34.419965,-119.878562,"Constructed Hibernacula",32,12,2.66666666666667
"H4",34.4189948,-119.8742022,"Constructed Hibernacula",7,6,1.16666666666667
"H40",34.420427,-119.87943,"Constructed Hibernacula",208,12,17.3333333333333
"H42",34.420001,-119.8802218,"Constructed Hibernacula",135,12,11.25
"H46",34.420141,-119.881389,"Constructed Hibernacula",182,10,18.2
"H7",34.4219544,-119.8807533,"Constructed Hibernacula",36,8,4.5
"H8",34.421972,-119.881253,"Constructed Hibernacula",6,12,0.5
"H9",34.421872,-119.88181,"Constructed Hibernacula",251,12,20.9166666666667
"L26",34.420364,-119.882728,"Log",51,12,4.25
"L28",34.420701,-119.882601,"Log",23,6,3.83333333333333
"L30",34.420915,-119.880816,"Log",137,12,11.4166666666667
"L34",34.420634,-119.878862,"Log",29,12,2.41666666666667
"L45",34.420394,-119.879702,"Log",40,6,6.66666666666667
"L49",34.4196849,-119.8789428,"Log",91,12,7.58333333333333
"L58",34.419712,-119.881312,"Log",24,6,4
"L59",34.4191927,-119.8801078,"Log",38,6,6.33333333333333
